field,type,description
customerID,string,Unique customer identifier
Churn,integer,"Actual churn status (1=churned, 0=retained)"
ChurnPrediction,integer,"ML model prediction (1=will churn, 0=will retain)"
ChurnProbability,float,ML model churn probability (0.0 to 1.0)
ChurnProbability_Pct,float,Churn probability as percentage (0 to 100)
RiskSegment,string,"Risk category: High Risk (70%+), Medium Risk (40-70%), Low Risk (<40%)"
tenure,integer,Customer tenure in months
MonthlyCharges,float,Monthly billing amount in USD
TotalCharges,float,Lifetime billing amount in USD
Contract,string,"Contract type: Month-to-month, One year, Two year"
PaymentMethod,string,Payment method used
SeniorCitizen,integer,"Senior citizen status (1=yes, 0=no)"
Partner,integer,"Has partner (1=yes, 0=no)"
Dependents,integer,"Has dependents (1=yes, 0=no)"
